"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","offered with final","",""
"ALPN_HTTP2","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order-tls1_2","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","server","",""
"cipherorder_TLSv1_2","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","server","",""
"FS","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","www.psyenfantado.sante.gouv.fr/20.74.14.77","443","INFO","not supported","",""
