"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","HTTP","",""
"pre_128cipher","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","No 128 cipher limit bug","",""
"SSLv2","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","",""
"SSLv3","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","",""
"TLS1","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_1","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_2","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"TLS1_3","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered with final","",""
"ALPN_HTTP2","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","h2","",""
"ALPN","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","http/1.1","",""
"cipherlist_NULL","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_LOW","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"cipherlist_STRONG_FS","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"cipher_order-tls1_2","fce.fabrique.social.gouv.fr/57.128.91.43","443","OK","server","",""
"cipherorder_TLSv1_2","fce.fabrique.social.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
