"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","HTTP","",""
"pre_128cipher","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","",""
"SSLv3","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","",""
"TLS1","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_1","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_2","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"TLS1_3","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered with final","",""
"ALPN_HTTP2","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","h2","",""
"ALPN","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","http/1.1","",""
"cipherlist_NULL","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"cipher_order-tls1_2","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","server","",""
"cipherorder_TLSv1_2","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","server","",""
"FS","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"FS_ciphers","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","yes","",""
"sessionresumption_ticket","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not supported","",""
"sessionresumption_ID","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not supported","",""
"TLS_timestamp","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","random","",""
"certificate_compression","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","none","",""
"clientAuth","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","none","",""
"cert_numbers","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","1","",""
"cert_signatureAlgorithm","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","OK","SHA256 with RSA","",""
"cert_keySize","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","036D05B7AF37381C0B1B80364A91DCE02BD3","",""
"cert_serialNumberLen","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","18","",""
"cert_fingerprintSHA1","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","34ED48C23097BB613E572B7DA80BE405533418D9","",""
"cert_fingerprintSHA256","mano-app.fabrique.social.gouv.fr/57.128.91.43","443","INFO","12F98DEF3369033B631386CCE2B83564D28ADD5B77D16CDCB374A03FAE54A655","",""
