"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","HTTP","",""
"pre_128cipher","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","",""
"SSLv3","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","",""
"TLS1","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_1","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_2","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"TLS1_3","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered with final","",""
"ALPN_HTTP2","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","h2","",""
"ALPN","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","http/1.1","",""
"cipherlist_NULL","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"cipher_order-tls1_2","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","server","",""
"cipherorder_TLSv1_2","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","server","",""
"FS","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"FS_ciphers","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","yes","",""
"sessionresumption_ticket","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not supported","",""
"sessionresumption_ID","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not supported","",""
"TLS_timestamp","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","random","",""
"certificate_compression","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","none","",""
"clientAuth","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","none","",""
"cert_numbers","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","1","",""
"cert_signatureAlgorithm","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","OK","SHA256 with RSA","",""
"cert_keySize","ozensemble.fabrique.social.gouv.fr/57.128.91.43","443","INFO","RSA 2048 bits (exponent is 65537)","",""
